Cuenta Nro. 853213775  Movimiento Desde el 01-MAY-18 Al 07-MAY-18
Fecha de aplicacion,Fecha de transaccion,Descripcion,documento,Origen,Valor Total,Valor Efectivo,Valor Cheque,D- Debito C- Credito,Codigo de Transaccion
20180502,20180502,NC VENTAS PSE,304715,NOVD.AUTOM.SISTE,700000,700000,0,C,NVP
20180502,20180502,NC TRANS ACH REF 0079427498,304675,NOVD.AUTOM.SISTE,536000,536000,0,C,NTA
20180502,20180502,NC TRANS ACH REF 0052698228,304764,NOVD.AUTOM.SISTE,378000,378000,0,C,NTA
20180502,20180502,NOTA CREDITO RECAUDOS,1001,STA MARTA P BOLI,356000,356000,0,C,RCI
20180502,20180502,NOTA CREDITO RECAUDOS,504,PUNTO SERVICIO R,402000,402000,0,C,RCI
20180503,20180502,NOTA CREDITO RECAUDOS,1104,NIZA,413000,413000,0,C,RCI
20180503,20180503,NC VENTAS PSE,304873,NOVD.AUTOM.SISTE,408000,408000,0,C,NVP
20180503,20180503,NC TRANS ACH REF 0035462155,304961,NOVD.AUTOM.SISTE,689000,689000,0,C,NTA
20180503,20180503,NC TRANS ACH REF 0077010758,304848,NOVD.AUTOM.SISTE,734000,734000,0,C,NTA
20180503,20180503,NC TRANS ACH REF 0042875686,304859,NOVD.AUTOM.SISTE,700000,700000,0,C,NTA
20180503,20180503,NOTA CREDITO RECAUDOS,601,CHICO,378000,378000,0,C,RCI
20180503,20180503,NOTA CREDITO RECAUDOS,1003,CHICO,700000,700000,0,C,RCI
20180503,20180503,NOTA CREDITO RECAUDOS,306,STA MARTA P BOLI,370000,370000,0,C,RCI
20180504,20180504,NC VENTAS PSE,305113,NOVD.AUTOM.SISTE,940000,940000,0,C,NVP
20180504,20180504,NC TRANS ACH REF 0008773313,305151,NOVD.AUTOM.SISTE,373000,373000,0,C,NTA
20180504,20180504,NC TRANS ACH REF 0041779306,305097,NOVD.AUTOM.SISTE,287000,287000,0,C,NTA
20180504,20180504,NC TRANS ACH REF 0051598642,305019,NOVD.AUTOM.SISTE,373000,373000,0,C,NTA
20180504,20180504,NC TRANS ACH REF 0052117813,305018,NOVD.AUTOM.SISTE,370000,370000,0,C,NTA
20180504,20180504,NOTA CREDITO RECAUDOS,806,SAN MARCOS,1182000,1182000,0,C,RCI
20180504,20180504,NOTA CREDITO RECAUDOS,1304,SAN FERNANDO,370000,370000,0,C,RCI
20180504,20180504,NOTA CREDITO RECAUDOS,1201,ARMENIA,493000,493000,0,C,RCI
20180504,20180504,NOTA CREDITO RECAUDOS,702,C.COMERCIAL SANT,400000,400000,0,C,RCI
20180504,20180504,NOTA CREDITO RECAUDOS,1205,CTRO CCIAL CENTR,450000,450000,0,C,RCI
20180504,20180504,NOTA CREDITO RECAUDOS,1402,PUNTO SERVICIO R,700000,700000,0,C,RCI
20180504,20180504,NOTA CREDITO RECAUDOS,906,PUNTO SERVICIO R,566100,566100,0,C,RCI
20180507,20180505,NOTA CREDITO RECAUDOS,308,COLINA CAMPESTRE,475000,475000,0,C,RCI
20180507,20180507,NC VENTAS PSE,305257,NOVD.AUTOM.SISTE,370000,370000,0,C,NVP
20180507,20180507,NC TRANS ACH REF 0020187269,305224,NOVD.AUTOM.SISTE,565000,565000,0,C,NTA
20180507,20180507,NC TRANS ACH REF 0041647038,305217,NOVD.AUTOM.SISTE,512240,512240,0,C,NTA
20180507,20180507,NC TRANS ACH REF 0041562059,305402,NOVD.AUTOM.SISTE,405000,405000,0,C,NTA
20180507,20180507,NC TRANS ACH REF 0051922592,305242,NOVD.AUTOM.SISTE,378000,378000,0,C,NTA
20180507,20180507,NC TRANS ACH REF 0900332558,305226,NOVD.AUTOM.SISTE,378563,378563,0,C,NTA
20180507,20180507,NC TRANS ACH REF 0070034196,305226,NOVD.AUTOM.SISTE,431000,431000,0,C,NTA
20180507,20180507,NOTA CREDITO RECAUDOS,904,USAQUEN,662845,662845,0,C,RCI
20180507,20180507,NOTA CREDITO RECAUDOS,1002,CALLE 82,731000,731000,0,C,RCI
20180507,20180507,NOTA CREDITO RECAUDOS,1405,ILARCO,450000,450000,0,C,RCI
20180507,20180507,NOTA CREDITO RECAUDOS,1302,CIUDAD SALITRE,700000,700000,0,C,RCI
20180507,20180507,NOTA CREDITO RECAUDOS,1102,UNICENTRO,718900,718900,0,C,RCI
20180507,20180507,NOTA CREDITO RECAUDOS,502,CTRO CIAL HAYUEL,731000,731000,0,C,RCI
20180507,20180507,NOTA CREDITO RECAUDOS,604,PUNTO SERVICIO R,213000,213000,0,C,RCI
